category_id	gold_category	n_support
C01	structuring > microsystem level structuring	25
C02	readiness > Consensus CNL practice can close gaps	18
C03	structuring > CNL level workflow structuring	16
C04	structuring > CNL level competency structuring	15
C05	CNL practice > Support staff engagement	14
C06	CNL practice > Facilitate effective ongoing communication	12
C07	readiness > Organization level implementation strategy > education as implementation strategy	10
C08	readiness > Organization level implementation strategy > CNL readiness for practice	9
C09	CNL practice > Create and sustain teams	7
C10	readiness > Organization level implementation strategy	7
C11	outcome > Improved care environments	3
C12	CNL practice > Strengthen intra and interprofessional relationships	2
C13	outcome > Improved care quality outcomes	2
